id,sid1,sid2,sentence1,sentence2,is_duplicate
1859,3719,3720,A man in a car is not pulling up beside a woman who is walking along a road,A child is walking down the street and a jeep is pulling up,0
1860,3721,3722,A man in a car is pulling up beside a woman that is who along a road,A child is walking down the street and a jeep is stopping,0
1861,3723,3724,A child is walking down the street and a jeep is not pulling up,A man in a car is pulling up beside a woman that is who along a road,0
1862,3725,3726,A woman is not chopping garlic,A woman is chopping garlic,0
1863,3727,3728,A woman is cutting a fish,A woman is chopping garlic,0
1864,3729,3730,A woman is chopping garlic,There is no woman slicing a fish,0
1865,3731,3732,A woman is slicing a fish,A woman is not chopping garlic,0
1866,3733,3734,A woman is slicing a fish,A woman is chopping garlic,0
1867,3735,3736,Nobody is holding a hedgehog,An onion is being sliced,0
1868,3737,3738,An onion is being chopped,Someone is holding a hedgehog,0
1869,3739,3740,Something is being fried by a woman,A woman is frying something,1
1870,3741,3742,There is no woman frying something,A woman is frying something,0
1871,3743,3744,A woman is frying something,A horse is being ridden by a woman,0
1872,3745,3746,A woman is riding a horse,A woman is frying something,0
1873,3747,3748,An email is being read by a man,A man is reading an email,1
1874,3749,3750,A man is reading an email,There is no man reading an email,0
1875,3751,3752,An email is being read by a man,A person is peeling a banana,0
1876,3753,3754,A person is peeling a banana,There is no man reading an email,0
1877,3755,3756,A man is reading an email,A person is peeling a banana,0
1878,3757,3758,A big cat is opening a plastic drawer with its paws and is jumping inside,A small cat is opening a plastic drawer with its paws and jumping inside,0
1879,3759,3760,A dog is opening a drawer and climbing inside,A dog is opening and entering a drawer,1
1880,3761,3762,A big cat is opening a drawer made of plastic with its paws and is jumping inside,A large cat is opening a palstic drawer and climbing inside,1
1881,3763,3764,A woman is slicing an onion,There is no woman slicing an onion,0
1882,3765,3766,A man is cutting an onion,An onion is being sliced by a woman,0
1883,3767,3768,A man is chopping an onion,A woman is slicing an onion,0
1884,3769,3770,There is no man cutting an onion,A woman is slicing an onion,0
1885,3771,3772,A woman is painting a man's face,A man's face is being painted by a woman,1
1886,3773,3774,A woman is painting a man's face,A woman is cleaning a man's face,0
1887,3775,3776,The woman is not putting makeup on the man,A woman is painting a man's face,0
1888,3777,3778,The woman is putting makeup on the man,The woman is making-up the man,1
1889,3779,3780,A woman is cleaning a man's face,The woman is putting makeup on the man,0
1890,3781,3782,A man is painting a woman's face,The woman is putting makeup on the man,0
1891,3783,3784,The man is talking on the telephone,The man isn't talking on the telephone,0
1892,3785,3786,The man is talking about the telephone,The man is talking on the telephone,0
1893,3787,3788,A door is being opened by a man,A man is opening a door,1
1894,3789,3790,A man is cutting an onion,There is no man opening a door,0
1895,3791,3792,A man is opening a door,A man is cutting an onion,0
1896,3793,3794,There is no man cutting a potato,A man is cutting a potato,0
1897,3795,3796,A man is slicing a potato,There is no man slicing a potato,0
1898,3797,3798,A man is slicing a potato,There is no man cutting a potato,0
1899,3799,3800,A woman is frying something in a pan,The guitar is being played by a man,0
1900,3801,3802,A woman is frying something in a pan,A man is not playing the guitar,0
1901,3803,3804,A man is playing the guitar,A woman is frying something in a pan,0
1902,3805,3806,A woman is playing the violin,There is no woman playing the violin,0
1903,3807,3808,The violin is being played by a woman,A man is playing the piano,0
1904,3809,3810,A man is playing the piano,There is no woman playing the violin,0
1905,3811,3812,The piano is being played by a man,A woman is playing the violin,0
1906,3813,3814,A man is playing the piano,A woman is playing the violin,0
1907,3815,3816,A man is fishing in the river,There is no man fishing in the river,0
1908,3817,3818,A man is singing and walking down the road,A man is singing while walking down the sidewalk,1
1909,3819,3820,A man is singing and standing on the sidewalk,A man is fishing in the river,0
1910,3821,3822,There is no man fishing in the river,A man is singing and walking down the sidewalk,0
1911,3823,3824,A man is fishing in the river,A man is singing and walking down the sidewalk,0
1912,3825,3826,A woman is eating a piece of meat,A woman is seasoning a piece of meat,0
1913,3827,3828,A man is loading a rifle with bullets,A woman is seasoning a ham,0
1914,3829,3830,There is no man loading a rifle with bullets,A woman is seasoning a piece of meat,0
1915,3831,3832,Some food is being prepared by a chef,A chef is preparing some food,1
1916,3833,3834,A chef is preparing a meal,There is no chef preparing a meal,0
1917,3835,3836,There is no chef preparing a meal,A chef is preparing some food,0
1918,3837,3838,A chef is discarding some food,A chef is preparing a meal,0
1919,3839,3840,Two sumo ringers are not fighting,Two sumo ringers are not engaging,1
1920,3841,3842,Two sumo wrestlers are fighting,A man is riding a water toy in the water,0
1921,3843,3844,A man is riding a water toy in the water,Two sumo ringers are not fighting,0
1922,3845,3846,Two sumo ringers are fighting,A man is playing with a water toy in the water,0
1923,3847,3848,There is no person playing a piano,A person is playing a piano,0
1924,3849,3850,A person is slicing a potato,There is no person slicing a potato,0
1925,3851,3852,A potato is being sliced by a person,A person is playing a piano,0
1926,3853,3854,A person is playing a piano,There is no person slicing a potato,0
1927,3855,3856,There is no person playing a piano,A person is slicing a potato,0
1928,3857,3858,There is no man putting some cheese on a pizza,A man is putting some cheese on a pizza,0
1929,3859,3860,A man is sprinkling shredded cheese on a pizza,A man is putting seasoning on a pizza,0
1930,3861,3862,There is no man putting some cheese on a pizza,A man is sprinkling shredded cheese on a pizza,0
1931,3863,3864,A man is sprinkling cheese on a pizza,A man is putting some cheese on a pizza,1
1932,3865,3866,There is no man sprinkling shredded cheese on a pizza,A man is putting some cheese on a pizza,0
1933,3867,3868,There is no man doing a card trick,A man is doing a card trick,0
1934,3869,3870,A man is playing with water,A man is not playing with water,0
1935,3871,3872,A man is having fun with water,A man is doing a card trick,0
1936,3873,3874,There is no man doing a card trick,A man is playing with water,0
1937,3875,3876,A man is buttering a piece of bread,A man is buttering a slice of bread,1
1938,3877,3878,A lemur is hanging on a cord,A lemur is hanging on a rope,1
1939,3879,3880,A man is buttering a slice of bread,A lemur is hanging on a cord,0
1940,3881,3882,A lemur is hanging on a cord,A woman is buttering a piece of bread,0
1941,3883,3884,A lemur is hanging on a cord,A man is buttering a piece of bread,0
1942,3885,3886,A woman is putting a baby in a waste bin,The woman is poking holes in the potato,0
1943,3887,3888,A woman is putting a baby in a waste bin,The woman is not poking holes in the potato,0
1944,3889,3890,The woman is poking a potato,There is no woman putting a child in a waste bin,0
1945,3891,3892,There is no one pouring cleaner into the sink,Nobody is pouring cleaner into the sink,1
1946,3893,3894,A man is pouring cleaner into the sink,The drums are being played by the man,0
1947,3895,3896,The man is playing the drums,A man is cleaning the sink,0
1948,3897,3898,There is no woman deep frying food,A woman is deep frying food,0
1949,3899,3900,A woman is not frying some food,A woman is frying some food,0
1950,3901,3902,A woman is deep frying food,A woman is cooking deepfried food,1
1951,3903,3904,A woman is pouring eggs into a frying pan,A woman is removing eggs from a frying pan,0
1952,3905,3906,A woman is pouring eggs into a pan,A man is petting two dogs,0
1953,3907,3908,A woman is pouring eggs into a frying pan,Two dogs are being petted by a man,0
1954,3909,3910,A man is petting two dogs,A woman is pouring eggs into a frying pan,0
1955,3911,3912,The child is silent,A boy is saying a word,0
1956,3913,3914,A baby is talking,The child is silent,0
1957,3915,3916,A boy is saying a word,A child is talking,0
1958,3917,3918,A boy is saying a word,There is no baby talking,0
1959,3919,3920,Some sticky goo is being pulled out of a bowl by a woman,A woman is pulling some sticky goo out of a bowl,1
1960,3921,3922,The woman is not putting pasta into a dish,The woman is putting pasta into a dish,0
1961,3923,3924,A woman is putting some sticky goo in a bowl,The woman is putting pasta into a dish,0
1962,3925,3926,The men are not playing soccer,A man is riding a motorcycle,0
1963,3927,3928,The men are playing soccer,A man is riding a motorbike,0
1964,3929,3930,A dog is looking around,There is no dog looking around,0
1965,3931,3932,A dog is looking at a store counter,An animal is looking around,0
1966,3933,3934,A dog is looking at a store counter,There is no dog looking around,0
1967,3935,3936,A dog is looking at a store counter,A dog is looking around,0
1968,3937,3938,A tiger is walking around,A tiger is not walking around,0
1969,3939,3940,A tiger is strolling around,A tiger cub is making a sound,0
1970,3941,3942,A tiger cub is roaring,A tiger is walking around,0
1971,3943,3944,A tiger is walking around,A tiger cub is making a sound,0
1972,3945,3946,A woman is frying meat,A woman is not frying meat,0
1973,3947,3948,A woman is frying meat,A woman is placing food in a pot of cold water,0
1974,3949,3950,A woman is not frying meat,A woman is placing food in a pot of hot water,0
1975,3951,3952,The trumpet is being played by a man,A man is playing the trumpet,1
1976,3953,3954,A woman is playing the trumpet,A man is playing the trumpet,0
1977,3955,3956,Nobody is playing with a toad,Someone is playing with a toad,0
1978,3957,3958,Nobody is playing with a toad,A man is playing the trumpet,0
1979,3959,3960,A woman is playing the trumpet,Someone is playing with a toad,0
1980,3961,3962,A man is playing the trumpet,Someone is playing with a toad,0
1981,3963,3964,The person is riding the horse,The person is not riding the horse,0
1982,3965,3966,A man is riding a horse,The person is not riding the horse,0
1983,3967,3968,There is no man riding a horse,The person is riding the horse,0
1984,3969,3970,A person is folding a sheet,A person is folding a piece of paper,0
1985,3971,3972,Someone is folding a piece of paper,Nobody is folding a piece of paper,0
1986,3973,3974,Nobody is folding a piece of paper,A person is folding a piece of paper,0
1987,3975,3976,A young boy is using sign language,A young lad is speaking the sign language,1
1988,3977,3978,A girl is communicating with sign language,A young boy is using sign language,0
1989,3979,3980,A rabbit is playing with a stuffed bunny,A bunny is playing with a stuffed bunny,1
1990,3981,3982,A man is jumping rope in a field,A man is jumping rope on a pasture,1
1991,3983,3984,A woman is not slicing a cucumber,A woman is slicing a cucumber,0
1992,3985,3986,A man is jumping rope outside,A woman is not slicing a cucumber,0
1993,3987,3988,A woman is slicing a cucumber,A woman is jumping rope outside,0
1994,3989,3990,The man is not slicing a potato,The man is slicing a potato,0
1995,3991,3992,A wind instrument is being played by a girl,A girl is playing a wind instrument,1
1996,3993,3994,A girl is playing a flute,A boy is playing a wind instrument,0
1997,3995,3996,A person is playing a keyboard,A person is not playing a keyboard,0
1998,3997,3998,Someone is playing piano,Someone is not playing piano,0
1999,3999,4000,Someone is playing piano,A keyboard is being played by a person,0
2000,4001,4002,Someone is playing piano,A person is not playing a keyboard,0
2001,4003,4004,A man is jumping into a pool,A man is diving into a pool,1
2002,4005,4006,A woman is diving into a pool,A man is diving into a pool,0
2003,4007,4008,The man is seasoning the sausages,The man is condimenting the sausages,1
2004,4009,4010,The man is adding seasoning to the water in a bowl,The man is seasoning the meat,0
2005,4011,4012,The man is not seasoning the sausages,The man is adding seasoning to the water in a bowl,0
2006,4013,4014,Seasoning is being added to the water by the man,The man is seasoning the sausages,0
2007,4015,4016,There is no man playing a flute,A man is playing a flute,0
2008,4017,4018,A man is playing a large flute,A man is playing a grand flute,1
2009,4019,4020,A man is playing a large flute,A man is playing a small flute,0
2010,4021,4022,A man is playing a small flute,A man is playing a flute,1
2011,4023,4024,A man is playing a large flute,A man is playing a little flute,1
2012,4025,4026,The lady is peeling the potato,There is no lady peeling the potato,0
2013,4027,4028,A flute is being played by a man,A man is riding a scooter,0
2014,4029,4030,A man is riding a scooter,There is no man playing a flute,0
2015,4031,4032,A man is playing the guitar,An octopus is being sliced by a woman,0
2016,4033,4034,A woman is not slicing an octopus,A man is playing the guitar,0
2017,4035,4036,A woman is slicing an octopus,A man is playing the instrument,0
2018,4037,4038,There is no man playing the guitar,A woman is slicing an octopus,0
2019,4039,4040,A man is playing the guitar,A woman is slicing an octopus,0
2020,4041,4042,A man is playing the drums,The guitar is being played by a man,0
2021,4043,4044,The drums are being played by a man,A man is playing the guitar,0
2022,4045,4046,A man is playing the drums,A man is playing the guitar,0
2023,4047,4048,A man is removing some food from a box,A man is putting some food in a box,0
2024,4049,4050,The man is not putting chicken into the container,The man is putting chicken into the container,0
2025,4051,4052,The man is not putting chicken into the container,A man is putting some food in a box,0
2026,4053,4054,A man is removing some food from a box,The man is putting chicken into the container,0
2027,4055,4056,The man is putting chicken into the container,A man is putting some poultry meat in a box,1
2028,4057,4058,A woman is placing skewers onto a rack,Skewers are being placed onto a rack by a woman,1
2029,4059,4060,A woman is cracking eggs into a bowl,There is no woman placing skewers onto a rack,0
2030,4061,4062,Eggs are being cracked into a bowl by a woman,A woman is placing skewers onto a rack,0
2031,4063,4064,A woman is taking eggs out of a bowl,A woman is placing skewers onto a rack,0
2032,4065,4066,A woman is cracking eggs into a bowl,A woman is placing skewers onto a rack,0
2033,4067,4068,A baby is not playing a guitar,A baby is playing a guitar,0
2034,4069,4070,The little boy is singing and playing the guitar,The little boy is not singing and playing the guitar,0
2035,4071,4072,The little boy is singing and playing the guitar,A guitar is being played by a baby,0
2036,4073,4074,A baby is not playing a guitar,The little boy is singing and playing the guitar,0
2037,4075,4076,A person is passionately playing a guitar in front of an audience,A woman is peeling a potato,0
2038,4077,4078,A man is reading the email,A male is reading the electronic messages,1
2039,4079,4080,There is no man reading the email,A man is reading the email,0
2040,4081,4082,Two baby pandas are playing,Two cubs are playing,0
2041,4083,4084,Two baby pandas are sleeping,Two baby pandas are playing,0
2042,4085,4086,Two pandas are lying together,Two panda bears are lying together,1
2043,4087,4088,Two baby pandas are playing,Two panda bears are lying together,0
2044,4089,4090,Two baby pandas are playing,Two pandas are not lying together,0
2045,4091,4092,Two pandas are lying together,Two baby pandas are playing,0
2046,4093,4094,A woman is frying fish,A woman is not frying fish,0
2047,4095,4096,A woman is cooking fish,A woman is not frying fish,0
2048,4097,4098,A woman is playing the flute,A man is playing the flute,0
2049,4099,4100,A man is playing a flute,The flute is being played by a woman,0
2050,4101,4102,A man is playing an instrument,A woman is playing the flute,0
2051,4103,4104,A woman is playing the flute,A man is not playing a flute,0
2052,4105,4106,A boy is mowing the lawn,A guy is trimming the lawn,1
2053,4107,4108,A guy is mowing the lawn,There is no guy mowing the lawn,0
2054,4109,4110,Grass is being mowed by a man,A man is mowing grass,1
2055,4111,4112,A guy is mowing the lawn,There is no man mowing grass,0
2056,4113,4114,A boy is mowing the lawn,A man is mowing grass,0
2057,4115,4116,A person is not holding a skunk,A person is holding a skunk,0
2058,4117,4118,A person is frying meat in a pan,A person is not holding a skunk,0
2059,4119,4120,A person is frying food in a pan,A person is holding a skunk,0
2060,4121,4122,A person is holding a skunk,A person is not frying meat in a pan,0
2061,4123,4124,The woman is cracking eggs into a bowl,The man is cracking eggs into a bowl,0
2062,4125,4126,The lady is taking an egg out of a bowl,The man is cracking eggs into a bowl,0
2063,4127,4128,Broccoli are being cut by a woman,A woman is cutting broccoli,1
2064,4129,4130,A woman is not cutting broccoli,A woman is cutting broccoli,0
2065,4131,4132,A woman is cutting broccoli,A man is slicing tomatoes,0
2066,4133,4134,A woman is cutting broccoli,There is no man cutting tomatoes,0
2067,4135,4136,A woman is cutting broccoli,A man is cutting tomatoes,0
2068,4137,4138,A woman is firing a rifle,A woman is firing a weapon,1
2069,4139,4140,There is no woman firing a rifle,A woman is firing a rifle,0
2070,4141,4142,A woman is cutting a lemon,A woman is firing a weapon,0
2071,4143,4144,There is no woman firing a rifle,A woman is cutting a lemon,0
2072,4145,4146,A woman is firing a rifle,A woman is cutting fruit,0
2073,4147,4148,A man is cutting a lemon,A woman is firing a rifle,0
2074,4149,4150,A man is playing guitar,A woman is playing the drums,0
2075,4151,4152,A man is playing the drums,Guitar is being played by a man,0
2076,4153,4154,There is no man playing guitar,A man is playing the drums,0
2077,4155,4156,A man is drawing on a digital dry erase board,A person is drawing some figures,0
2078,4157,4158,A man is erasing some figures,A man is drawing on a digital dry erase board,0
2079,4159,4160,A man is drawing on a board,A man is drawing some figures,0
2080,4161,4162,A man is not drawing on a digital dry erase board,A man is drawing some figures,0
2081,4163,4164,A woman is cutting onions,There is no woman cutting onions,0
2082,4165,4166,A woman is cutting onions,A woman is not cutting tofu,0
2083,4167,4168,A woman is cutting tofu,A woman is chopping onions,0
2084,4169,4170,A woman is cutting tofu,There is no woman cutting onions,0
2085,4171,4172,A woman is cutting tofu,A woman is cutting onions,0
2086,4173,4174,A group of people are dancing at a concert,A group of people are dancing at a show,1
2087,4175,4176,A group of people are not dancing at a concert,A group of people are dancing at a concert,0
2088,4177,4178,A group of people are marching,A group of people are standing,0
2089,4179,4180,A group of people are walking,A group of people are dancing at a concert,0
2090,4181,4182,The man is feeding the snake with a mouse,The man is not feeding the snake with a mouse,0
2091,4183,4184,A man is working on the laptop,The man is not feeding the snake with a mouse,0
2092,4185,4186,A man is working on the computer,The man is feeding the snake with a mouse,0
2093,4187,4188,A boy is playing on a toy phone,A boy is playing on a toy telephone,1
2094,4189,4190,A girl is playing on a toy phone,A boy is playing on a toy phone,0
2095,4191,4192,The man is aiming a gun,The man is targeting with a gun,1
2096,4193,4194,A boy is playing on a toy phone,The man is handling a gun,0
2097,4195,4196,A boy is playing on a toy,The man is aiming a gun,0
2098,4197,4198,A boy is playing on a toy phone,The man is aiming a gun,0
2099,4199,4200,A girl is riding a horse,The person is trotting on the horse,0
2100,4201,4202,There is no girl riding a horse,The girl is trotting on the horse,0
2101,4203,4204,A man is breaking a slab of concrete with a sledge hammer,The woman is using a sledgehammer to break a concrete block that is on another man,0
2102,4205,4206,A dog is barking at a ball,There is no dog barking at a ball,0
2103,4207,4208,A dog is swimming after a tennis ball,A cat is swimming after a tennis ball,0
2104,4209,4210,A dog is barking at a ball,A cat is swimming after a tennis ball,0
2105,4211,4212,There is no dog barking at a ball,A dog is swimming after a tennis ball,0
2106,4213,4214,A dog is swimming after a tennis ball,A dog is barking at a ball,0
2107,4215,4216,A woman is eating a cupcake,A woman is not eating a cupcake,0
2108,4217,4218,A girl is eating a cupcake,A woman is not eating a cupcake,0
2109,4219,4220,A boy is eating a cupcake,A woman is eating a cupcake,0
2110,4221,4222,There is no man spitting,A man is speaking,0
2111,4223,4224,A man is talking,A man is spitting,0
2112,4225,4226,There is no man speaking,A man is spitting,0
2113,4227,4228,A man is playing keyboards,A man is not playing keyboards,0
2114,4229,4230,A man is riding a rodeo bull,A man is riding a mechanical bull,0
2115,4231,4232,A man is playing keyboards,A man is riding a rodeo bull,0
2116,4233,4234,A man is riding a mechanical bull,A man is playing an instrument,0
2117,4235,4236,A man is not playing keyboards,A man is riding a mechanical bull,0
2118,4237,4238,A man is playing keyboards,A man is riding a mechanical bull,0
2119,4239,4240,A man is cutting a boot with a blade,A man is cutting a boot with a blade,1
2120,4241,4242,A man is severing the toe of an empty leather boot with a sword,A woman is severing the toe of an empty leather boot with a sword,0
2121,4243,4244,A person is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword,0
2122,4245,4246,A woman is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword,0
2123,4247,4248,A chef is cleaning a bowl of soup,A chef is washing a bowl of soup,1
2124,4249,4250,A man is wiping the edge of a bowl,There is no man wiping the edge of a bowl,0
2125,4251,4252,A chef is cleaning a bowl of soup,A man is wiping the edge of a bowl,0
2126,4253,4254,The guitar is being played by a kid,A kid is playing the guitar,1
2127,4255,4256,A kid is playing the piano,A kid is playing the guitar,0
2128,4257,4258,A kid is singing and playing a guitar,A kid is playing the guitar while singing,1
2129,4259,4260,A young boy is singing and playing a guitar,A kid is playing the piano,0
2130,4261,4262,Nobody is stirring a pot of chili with a spoon,Someone is stirring a pot of chili with a spoon,0
2131,4263,4264,Someone is not stirring chili in a kettle,Someone is stirring chili in a kettle,0
2132,4265,4266,Someone is stirring a pot of chili with a spoon,Someone is stirring chili in a pot,1
2133,4267,4268,Someone is stirring a pot of chili with a spoon,Someone is not stirring chili in a kettle,0
2134,4269,4270,A person is eating in a restaurant,A person is eating at a table,0
2135,4271,4272,A man is making a bed,A person is making a bed,1
2136,4273,4274,A person is not making a bed,A person is eating at a table,0
2137,4275,4276,A person is making a bed,A person is eating at a table,0
2138,4277,4278,The cat is licking a bottle,The dog is licking a bottle,0
2139,4279,4280,A cat is playing with a small bottle,A bottle is being licked by the cat,0
2140,4281,4282,The cat is licking a bottle,A cat is playing with a small bottle,0
2141,4283,4284,A small dog is lying on the bed,A little dog is resting on the bed,1
2142,4285,4286,A small dog is lying on the bed,A small cat is lying on a bed,0
2143,4287,4288,A woman is cutting butter,A woman is slicing butter,1
2144,4289,4290,A woman is slicing butter,A man is slicing butter,0
2145,4291,4292,Tofu is being sliced by a woman,A woman is slicing tofu,1
2146,4293,4294,A woman is slicing butter,There is no woman slicing tofu,0
2147,4295,4296,The person is playing with a skull,The man is playing the guitar,0
2148,4297,4298,The man is playing with a skull,The man is playing the instrument,0
2149,4299,4300,The man is not playing the guitar,The man is playing with a skull,0
2150,4301,4302,The man is playing the guitar,The man is playing with a skull,0
2151,4303,4304,There is no man putting some cheese on a pizza,A man is putting some cheese on a pizza,0
2152,4305,4306,There is no man sprinkling cheese on the pizza,A man is putting some cheese on a pizza,0
2153,4307,4308,A man is firing a shotgun,There is no man shooting a shotgun,0
2154,4309,4310,A man is reloading a shotgun,A man is refilling a shotgun with ammo,1
2155,4311,4312,A man is dancing on the floor,A man is dancing on the ceiling,0
2156,4313,4314,A famous singer is dancing on the ceiling,A star singer is dancing on the ceiling,1
2157,4315,4316,Hay is being eaten by a cow,A cow is eating hay,1
2158,4317,4318,A cow is eating grass,A cow is not eating hay,0
2159,4319,4320,A man is having lunch,A man is eating lunch,1
2160,4321,4322,A man is puking,A man is eating,0
2161,4323,4324,A man is eating,A woman is dancing gracefully,0
2162,4325,4326,A man is eating,A woman is sleeping,0
2163,4327,4328,A woman is dancing,A man is puking,0
2164,4329,4330,A man is eating,A woman is dancing,0
2165,4331,4332,A baby is playing with a doll,A baby is playing with a puppet,1
2166,4333,4334,A baby is not playing with a doll,A baby is playing with a doll,0
2167,4335,4336,A baby tiger is playing with a ball,There is no baby tiger playing with a ball,0
2168,4337,4338,A baby tiger is playing with a ball,A baby is playing with a doll,0
2169,4339,4340,The man is playing a game on a lawn,The man is playing a game on the grass,1
2170,4341,4342,The man is playing a game on the grass,There is no man playing a game on the grass,0
2171,4343,4344,The rhino is grazing on the grass,There is no rhino grazing on the grass,0
2172,4345,4346,The man is playing a game on the grass,There is no rhino grazing on the grass,0
2173,4347,4348,The man is playing a game on a lawn,The rhino is grazing on the grass,0
2174,4349,4350,The man is playing a game on the grass,The rhino is grazing on the grass,0
2175,4351,4352,A male is talking to a female,A man is talking to a woman,1
2176,4353,4354,A woman is cracking eggs,A woman is breaking eggs,1
2177,4355,4356,A man is talking to a woman,A woman is breaking eggs,0
2178,4357,4358,A man is cracking eggs,A man is talking to a woman,0
2179,4359,4360,A woman is talking to a man,A woman is cracking eggs,0
2180,4361,4362,A man is biking,A man is riding a bicycle,1
2181,4363,4364,A man is riding an electric bike,A man is riding an electric bicycle,1
2182,4365,4366,A man is riding an electric bicycle,There is no man riding an electric bicycle,0
2183,4367,4368,A man is riding an electric bicycle,A man is not riding a bicycle,0
2184,4369,4370,A cat is jumping into a container,A cat is jumping into a box,1
2185,4371,4372,A boy is talking to a leaf,A young man is talking to a leaf,1
2186,4373,4374,A cat is jumping into a box,A young man is talking to a leaf,0
2187,4375,4376,A fish is being cut by a man,A man is cutting a fish,1
2188,4377,4378,A man is slicing a fish,A woman is slicing a fish,0
2189,4379,4380,A person is frying some food,A person is cooking some food,1
2190,4381,4382,A potato is being peeled by a person,A person is frying some food,0
2191,4383,4384,A man is rowing a boat,A man is shooting with a weapon,0
2192,4385,4386,A man is shooting with a bow,A man is rowing a boat,0
2193,4387,4388,A man is shooting with a gun,A man is rowing a canoe,0
2194,4389,4390,A man is shooting with a gun,A woman is rowing a boat,0
2195,4391,4392,A man is cutting a tomato,A woman is cutting a tomato,0
2196,4393,4394,A woman is cutting a tomato,A woman is dancing near a fireplace,0
2197,4395,4396,There is no woman dancing near a fire,A woman is cutting a tomato,0
2198,4397,4398,A woman is slicing a tomato,A woman is dancing near a fire,0
2199,4399,4400,A man is cutting a tomato,A woman is dancing near a fire,0
2200,4401,4402,A woman is cutting a tomato,A woman is dancing near a fire,0
2201,4403,4404,A girl is playing a guitar,A boy is playing a guitar,0
2202,4405,4406,A guitar is being played by a man,A girl is playing a guitar,0
2203,4407,4408,A girl is playing a guitar,A man is not playing a guitar,0
2204,4409,4410,A man is diving off a cliff,There is no man diving off a cliff,0
2205,4411,4412,A man is riding a motorcycle,A man is motorcycling,1
2206,4413,4414,A man is riding a motorcycle,A man is diving off a rock,0
2207,4415,4416,A man is diving off a cliff,A man is riding a motorcycle,0
2208,4417,4418,The man is playing the guitar,There is no man playing the guitar,0
2209,4419,4420,A woman is boiling noodles in water,Noodles are being boiled in water by a woman,1
2210,4421,4422,A woman is boiling noodles in water,A man is boiling noodles in water,0
2211,4423,4424,Someone is stirring noodles in the water,Someone is stirring the boiling noodles,1
2212,4425,4426,A woman is boiling noodles in water,Someone is stirring food in the water,0
2213,4427,4428,Someone is stirring noodles in the water,Noodles are being boiled in water by a woman,0
2214,4429,4430,The women are singing and dancing,The women are dancing and singing,1
2215,4431,4432,The women are not singing and dancing,The women are singing and dancing,0
2216,4433,4434,Two women are dancing and singing in front of many people,The women are dancing and singing in front of a group,1
2217,4435,4436,Two men are dancing and singing in front of a crowd,The women are singing and dancing,0
2218,4437,4438,The women are not singing and dancing,Two women are dancing and singing in front of a crowd,0
2219,4439,4440,A lemur is biting a person's finger,A lemur is biting someone's hand,1
2220,4441,4442,An animal is biting a person's finger,An animal is biting someone's finger,1
2221,4443,4444,A lemur is licking a person's finger,An animal is biting someone's finger,0
2222,4445,4446,A man is skateboarding on a half pipe,A girl is skateboarding on a half pipe,0
2223,4447,4448,A skateboarder is doing acrobatics on a half pipe,A man is skateboarding on a half pipe,0
2224,4449,4450,A man is skateboarding on a half pipe,A skateboarder is falling off a half pipe,0
2225,4451,4452,A girl is skateboarding on a half pipe,A skateboarder is doing tricks on a half pipe,0
2226,4453,4454,A skateboarder is doing tricks on a half pipe,A man is doing skateboard tricks on a half pipe,1
2227,4455,4456,A big dog is running on the ground,A large dog is running on the ground,1
2228,4457,4458,A girl is tapping her fingernails,A boy is tapping his fingernails,0
2229,4459,4460,A dog is sitting on the ground,A girl is tapping her fingernails,0
2230,4461,4462,A dog is running on the ground,A girl is tapping her fingernails,0
2231,4463,4464,A man and a woman are driving down the street in a jeep,Two persons are driving down the street in a jeep,1
2232,4465,4466,A man and a woman are driving down the road in an open-air vehicle,Two persons are driving down the street in an open-air vehicle,1
2233,4467,4468,There is no woman pouring ingredients into a bowl,A woman is pouring ingredients into a bowl,0
2234,4469,4470,The chef is seasoning the oil,The cook is seasoning the oil,1
2235,4471,4472,Ingredients are being poured into a bowl by a woman,The woman is seasoning the oil,0
2236,4473,4474,A person is riding a horse,Potatoes are being sliced by a woman,0
2237,4475,4476,A person is riding a horse,There is no woman slicing potatoes,0
2238,4477,4478,A woman is slicing potatoes,A person is riding a horse,0
2239,4479,4480,The man is training,The man is doing exercises,0
2240,4481,4482,Two men are hugging,The man is doing exercises,0
2241,4483,4484,Two men are fighting,The man is doing exercises,0
2242,4485,4486,Nobody is pouring ingredients into a pot,A man is putting vegetables into a pot,0
2243,4487,4488,The man is standing on a rocky mountain with gray clouds in the background,The man is standing on a rocky mountain and gray clouds are in the background,1
2244,4489,4490,"A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background",A topless person with a back pack is in front of a pile of rocks and clouds are in the background,1
2245,4491,4492,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,A fully dressed person is behind a pile of rocks and a clear sky is in the background,0
2246,4493,4494,The man is standing on a rocky mountain and gray clouds are in the background,A fully dressed person is behind a pile of rocks and a clear sky is in the background,0
2247,4495,4496,The man is standing on a rocky mountain and gray clouds are in the background,A black topless person is packing a pile of rocks and a front of clouds are in the background,0
2248,4497,4498,A dog is hooking a ball,A dog is catching a ball,1
2249,4499,4500,A dog is chasing a ball through dirt,A dog is catching a ball,0
2250,4501,4502,"A child, who has blond hair, is holding a yellow bottle",A blond child is holding a yellow bottle,1
2251,4503,4504,A blond child is holding a yellow bottle,There is no blond child holding a yellow bottle,0
